iter	RMSE
147	14062.14124
148	13995.57494
149	13953.76907
150	13913.76568
151	13874.08784
152	13847.49503
153	13799.52445
154	13762.00085
155	13722.42562
156	13658.19419
157	13611.25754
158	13540.44023
159	13504.7974
160	13469.88777
161	13405.4508
162	13331.33462
163	13315.43975
164	13242.43389
165	13172.00677
166	13140.52982
167	13081.82067
168	13048.96876
169	13017.2188
170	12972.1478
171	12938.14575
172	12907.62191
173	12880.57012
174	12851.68024
175	12807.38469
176	12788.80378
177	12752.50116
178	12695.04627
179	12667.57037
180	12607.32332
181	12581.16499
182	12548.55463
183	12522.0662
184	12488.6929
185	12463.09983
186	12427.25933
187	12353.26461
188	12327.56226
189	12298.2805
190	12270.44449
191	12226.42678
192	12169.44184
193	12147.07443
194	12121.61827
195	12054.05552
196	12029.3694
197	12001.6882
198	11975.10762
199	11937.10453
200	11879.56542
201	11820.72603
202	11763.70989
203	11710.45973
204	11667.37906
205	11619.12838
206	11575.54987
207	11521.87986
208	11473.38141
209	11408.62944
210	11357.13081
211	11306.40266
212	11260.52146
213	11225.62183
214	11198.1509
215	11136.40458
216	11108.47232
217	11071.63826
218	11053.75493
219	10995.97138
220	10949.67912
221	10908.49993
222	10871.64891
223	10838.03997
224	10811.69102
225	10771.42471
226	10747.76767
227	10708.77867
228	10697.07037
229	10659.96493
230	10621.86177
231	10611.60958
232	10551.57954
233	10527.66991
234	10518.34458
235	10496.89659
236	10468.26461
237	10411.55106
238	10386.93911
239	10354.71372
240	10324.49514
241	10304.49376
242	10261.212
243	10238.04425
244	10216.61064
245	10175.60959
246	10137.31332
247	10101.61051
248	10061.97502
249	10022.65505
250	10006.70981
251	9981.886282
252	9967.597263
253	9918.557753
254	9904.248037
255	9875.0966
256	9854.799383
257	9830.163255
258	9810.561397
259	9789.363385
260	9759.324558
261	9732.537718
262	9694.592401
263	9660.236327
264	9640.918101
265	9602.078211
266	9582.189714
267	9553.576523
268	9535.796602
269	9524.664104
270	9505.375999
271	9492.012185
272	9478.8553
273	9466.742404
274	9444.478751
275	9421.989009
276	9405.423453
277	9378.220439
278	9360.989186
279	9335.159445
280	9308.524587
281	9296.387829
282	9268.092481
283	9242.371952
284	9215.287378
285	9195.594375
286	9181.85557
287	9161.750636
288	9137.07977
289	9115.167744
290	9101.100824
291	9087.643298
292	9073.150726
293	9048.446065
294	9024.708758
295	9007.375627
296	8991.375464
297	8980.696471
298	8958.677409
299	8948.047317
300	8933.814869
301	8915.425377
302	8893.537916
303	8872.600863
304	8833.015756
305	8805.618124
306	8772.836928
307	8754.216461
308	8733.85472
309	8712.068822
310	8694.128767
311	8674.73233
312	8657.005282
313	8640.720251
314	8617.656404
315	8604.390704
316	8592.51505
317	8570.093959
318	8552.059098
319	8541.193879
320	8530.76993
321	8515.941662
322	8498.67706
323	8480.478881
324	8467.400963
325	8450.100863
326	8433.691838
327	8408.20485
328	8388.205397
329	8378.737438
330	8357.241992
331	8340.203062
332	8330.085999
333	8322.948326
334	8307.576583
335	8293.142393
336	8267.918567
337	8259.02908
338	8244.023299
339	8229.855124
340	8207.855875
341	8198.874805
342	8183.45918
343	8168.116387
344	8160.792982
345	8143.277338
346	8133.935281
347	8120.851205
348	8108.017664
349	8095.786181
350	8087.445702
351	8075.483777
352	8067.669824
353	8051.613778
354	8034.138895
355	8029.965643
356	8011.619042
357	7991.926033
358	7975.537494
359	7963.314764
360	7945.193062
361	7929.364725
362	7917.291545
363	7910.222703
364	7905.65974
365	7896.386173
366	7890.446587
367	7880.260565
368	7871.203273
369	7865.255735
370	7854.593264
371	7842.792549
372	7818.652629
373	7805.612049
374	7779.350309
375	7768.265735
376	7755.129312
377	7740.884892
378	7726.757476
379	7717.136645
380	7701.246653
381	7691.882835
382	7666.479798
383	7656.155376
384	7647.381668
385	7638.138837
386	7629.15255
387	7621.901358
388	7610.36801
389	7604.168146
390	7595.657322
391	7589.787592
392	7571.023522
393	7558.759611
394	7545.477203
395	7527.548154
396	7519.218479
397	7507.43958
398	7499.421999
399	7492.574822
400	7480.478018
401	7475.116131
402	7464.510551
403	7456.831053
404	7444.467343
405	7438.204091
406	7424.822713
407	7407.412602
408	7398.964754
409	7390.8502
410	7384.788768
411	7378.184877
412	7371.159587
413	7364.196248
414	7349.297097
415	7337.061981
416	7330.282574
417	7317.754862
418	7308.302458
419	7294.139053
420	7288.724389
421	7284.933176
422	7273.412298
423	7267.094787
424	7260.968241
425	7254.619099
426	7243.402337
427	7239.316386
428	7224.969534
429	7219.070299
430	7202.75697
431	7197.932088
432	7192.317682
433	7161.050677
434	7151.497191
435	7146.233477
436	7141.900886
437	7136.105203
438	7125.607441
439	7117.073503
440	7109.180147
441	7085.047324
442	7064.587607
443	7049.335786
444	7045.202573
445	7041.194883
446	7034.959995
447	7019.300548
448	7013.903088
449	7005.249186
450	6994.608079
451	6988.684214
452	6979.812221
453	6973.342305
454	6963.582041
455	6956.011114
456	6952.518719
457	6944.864263
458	6920.136967
459	6908.410354
460	6901.992224
461	6892.102816
462	6885.662115
463	6869.24644
464	6865.618355
465	6858.686758
466	6847.012481
467	6842.918515
468	6838.679525
469	6827.283604
470	6817.864548
471	6796.012217
472	6773.547305
473	6769.73918
474	6755.043492
475	6752.222582
476	6747.238809
477	6742.336097
478	6738.573078
479	6734.922888
480	6723.694987
481	6720.146607
482	6716.047653
483	6701.692548
484	6690.253443
485	6681.576274
486	6664.694272
487	6662.194238
488	6651.715422
489	6644.364907
490	6636.966051
491	6627.415434
492	6624.048566
493	6617.49232
494	6613.601825
495	6595.78792
496	6590.694284
497	6586.891371
498	6571.328558
499	6560.87365
500	6550.785115
501	6538.246743
502	6535.789759
503	6525.2684
504	6516.013303
505	6508.123285
506	6500.829538
507	6491.935868
508	6483.162913
509	6478.84786
510	6475.763708
511	6470.486602
512	6468.079114
513	6461.58931
514	6454.948699
515	6451.352206
516	6442.059848
517	6433.976795
518	6430.481684
519	6426.659235
520	6423.042657
521	6411.037994
522	6402.798426
523	6393.83002
524	6384.928283
525	6372.366548
526	6369.023501
527	6365.768821
528	6363.750363
529	6357.689154
530	6355.056134
531	6348.518972
532	6343.749351
533	6335.433921
534	6330.120184
535	6322.805185
536	6319.596569
537	6313.526449
538	6310.44873
539	6299.242732
540	6294.946429
541	6289.744389
542	6285.796179
543	6275.004763
544	6264.223671
545	6259.22365
546	6254.84402
547	6247.600067
548	6236.5839
549	6229.121376
550	6225.299346
551	6222.244507
552	6208.725104
553	6208.232982
554	6205.242212
555	6203.03617
556	6190.395939
557	6179.24703
558	6176.643887
559	6170.933382
560	6166.959477
561	6156.154703
562	6147.437281
563	6138.369264
564	6132.031993
565	6128.126826
566	6116.722069
567	6111.491184
568	6101.715088
569	6096.503362
570	6093.644301
571	6090.39014
572	6085.097327
573	6081.959065
574	6078.92527
575	6075.991838
576	6072.055071
577	6062.018629
578	6054.770159
579	6051.303402
580	6047.739125
581	6037.443573
582	6032.238364
583	6030.461524
584	6027.643576
585	6025.01624
586	6015.784627
587	6013.735092
588	6011.181133
589	6006.641962
590	5994.200635
591	5990.917636
592	5982.759765
593	5977.901121
594	5975.285543
595	5972.757435
596	5970.451802
597	5968.607164
598	5964.410755
599	5960.882427
600	5954.648737
601	5952.244129
602	5949.91922
603	5944.792708
604	5942.731452
605	5939.07321
606	5937.163379
607	5933.355193
608	5928.893781
609	5923.538963
610	5916.236988
611	5907.616119
612	5905.102133
613	5898.512945
614	5895.409308
615	5893.561248
616	5889.159468
617	5886.931611
618	5879.229326
619	5874.054805
620	5865.995362
621	5857.515101
622	5851.888924
623	5848.313805
624	5841.040814
625	5835.985695
626	5823.352832
627	5822.41673
628	5813.442516
629	5806.641515
630	5801.15457
631	5797.768167
632	5792.422316
633	5790.176396
634	5786.620675
635	5784.525523
636	5782.499854
637	5780.55251
638	5769.851993
639	5766.797653
640	5764.803236
641	5758.784614
642	5755.699541
643	5753.763632
644	5751.452429
645	5745.853371
646	5740.871358
647	5733.953507
648	5730.364216
649	5723.365353
650	5717.897287
651	5715.987639
652	5715.385285
653	5713.544075
654	5707.567875
655	5705.754846
656	5698.730537
657	5695.487648
658	5688.791539
659	5687.137268
660	5683.663774
661	5681.017767
662	5679.005576
663	5672.35496
664	5668.166773
665	5660.918746
666	5655.720577
667	5649.081409
668	5646.727618
669	5643.678179
670	5641.619871
671	5633.66405
672	5631.761073
673	5629.836643
674	5629.747734
675	5629.165727
676	5626.489331
677	5619.491523
678	5619.368682
679	5612.123826
680	5612.005357
681	5606.299608
682	5602.082901
683	5596.704942
684	5595.471103
685	5592.013774
686	5586.863539
687	5585.034655
688	5581.2551
689	5581.166552
690	5577.332943
691	5570.662253
692	5565.208608
693	5563.276707
694	5553.289977
695	5545.806666
696	5542.749396
697	5535.410576
698	5530.991274
699	5526.395795
700	5523.823001
701	5522.185989
702	5522.103386
703	5516.466303
704	5508.169933
705	5501.346522
706	5495.131568
707	5489.167646
708	5484.810325
709	5481.621776
710	5477.75689
711	5476.224135
712	5475.920626
713	5468.694745
714	5468.408691
715	5462.430454
716	5460.879159
717	5457.169794
718	5455.61804
719	5452.677956
720	5452.41013
721	5450.04054
722	5440.403472
723	5436.438306
724	5432.97646
725	5423.476326
726	5423.377895
727	5417.767785
728	5416.564504
729	5412.450906
730	5406.085548
731	5399.767538
732	5398.71714
733	5392.931951
734	5389.461827
735	5389.350464
736	5386.160651
737	5382.49435
738	5377.143865
739	5374.575956
740	5371.2859
741	5371.183699
742	5368.125325
743	5366.671403
744	5366.585671
745	5360.803584
746	5355.003267
747	5353.518583
748	5349.11344
749	5347.287528
750	5343.412271
751	5340.777097
752	5337.851736
753	5335.851627
754	5333.991204
755	5331.012706
756	5329.556206
757	5324.994001
758	5317.199943
759	5315.786789
760	5314.370251
761	5310.8077
762	5309.180974
763	5306.529203
764	5304.894653
765	5302.1918
766	5297.164362
767	5288.026662
768	5281.053944
769	5278.402227
770	5274.514329
771	5270.910634
772	5268.494286
773	5265.483824
774	5263.037687
775	5256.652571
776	5247.039083
777	5240.053987
778	5233.28966
779	5232.389605
780	5228.072568
781	5225.210162
782	5224.398404
783	5221.212288
784	5218.092256
785	5214.607821
786	5209.975224
787	5205.941285
788	5202.160623
789	5196.386823
790	5191.647836
791	5187.037582
792	5184.503828
793	5180.128308
794	5175.008652
795	5173.249333
796	5170.953804
797	5167.263111
798	5163.72552
799	5161.45869
800	5155.88065
801	5152.603082
802	5149.046283
803	5148.83504
804	5147.609312
805	5147.41108
806	5145.583028
807	5141.454384
808	5138.254755
809	5137.848685
810	5137.279494
811	5132.883411
812	5125.650222
813	5124.114272
814	5116.331533
815	5116.15736
816	5112.912089
817	5109.679557
818	5108.571636
819	5104.430233
820	5099.758084
821	5097.516708
822	5097.323085
823	5092.260955
824	5089.901441
825	5088.450925
826	5087.10407
827	5080.496885
828	5078.321892
829	5074.593623
830	5072.543798
831	5071.159023
832	5070.372418
833	5069.33197
834	5069.129746
835	5064.119687
836	5062.985642
837	5061.423656
838	5059.98827
839	5059.787228
840	5056.495557
841	5053.620731
842	5051.662007
843	5051.488561
844	5043.348076
845	5040.589848
846	5038.541674
847	5035.344699
848	5033.473207
849	5029.734156
850	5026.039462
851	5025.094168
852	5023.418371
853	5019.212098
854	5015.374748
855	5009.640253
856	5007.458985
857	5000.713669
858	4998.825724
859	4995.829285
860	4993.400686
861	4991.554785
862	4989.344287
863	4984.920486
864	4979.137252
865	4978.946431
866	4977.303334
867	4977.146273
868	4975.716513
869	4974.505621
870	4968.957134
871	4967.337805
872	4965.85754
873	4963.687062
874	4962.800823
875	4961.496369
876	4959.181264
877	4957.036561
878	4954.476935
879	4953.045254
880	4950.387896
881	4946.477763
882	4945.563656
883	4939.057094
884	4937.271508
885	4933.934404
886	4927.145044
887	4926.086234
888	4921.545233
889	4921.29979
890	4915.162683
891	4914.689588
892	4911.691658
893	4907.394729
894	4904.33877
895	4903.361462
896	4901.149805
897	4899.299044
898	4894.30789
899	4893.191723
900	4892.557389
901	4890.006828
902	4889.000583
903	4881.34404
904	4879.833083
905	4878.669264
906	4877.675717
907	4873.78103
908	4871.219033
909	4865.818632
910	4860.773735
911	4852.224083
912	4851.084292
913	4846.648298
914	4845.224653
915	4845.130971
916	4842.983671
917	4840.085966
918	4839.051628
919	4838.007421
920	4837.842843
921	4835.963059
922	4834.819428
923	4830.468265
924	4829.27969
925	4828.293404
926	4826.853156
927	4825.315825
928	4825.184893
929	4822.880412
930	4821.11763
931	4816.956874
932	4815.673263
933	4812.581444
934	4811.546907
935	4810.032458
936	4808.845357
937	4805.41439
938	4804.742189
939	4800.771455
940	4800.167827
941	4798.323632
942	4797.568296
943	4797.238325
944	4793.316809
945	4791.998301
946	4788.75854
947	4785.225389
948	4785.086357
949	4781.307624
950	4780.135174
951	4778.915317
952	4776.375339
953	4774.917977
954	4773.261196
955	4772.000431
956	4770.76274
957	4769.776477
958	4766.417011
959	4764.775774
960	4761.985673
961	4759.840424
962	4754.459707
963	4752.412885
964	4752.012367
965	4749.406306
966	4748.187077
967	4746.663623
968	4744.651662
969	4743.335547
970	4742.232225
971	4739.72989
972	4736.154209
973	4733.412734
974	4732.283819
975	4729.282698
976	4726.969694
977	4726.658304
978	4725.433535
979	4724.422283
980	4721.916119
981	4718.559719
982	4716.824598
983	4714.458927
984	4712.324679
985	4711.102543
986	4709.103518
987	4707.012595
988	4702.970375
989	4700.200137
990	4696.334333
991	4693.287424
992	4688.358285
993	4685.518909
994	4682.193903
995	4678.70466
996	4673.99448
997	4672.68813
998	4668.576647
999	4666.545643
